taxi_zone_locationid,speed_zone
2,4
3,4
4,1
5,4
6,4
7,2
8,2
9,4
10,3
11,3
12,1
13,1
14,3
15,4
16,4
17,2
18,2
19,4
20,3
21,4
22,3
23,4
24,2
25,2
26,3
27,4
28,3
29,4
30,4
31,3
32,3
33,2
34,2
35,3
36,2
37,2
38,4
39,4
40,2
41,2
42,2
43,2
44,4
45,1
46,4
47,2
48,1
49,2
50,1
51,4
52,2
53,4
54,2
55,4
56,3
58,4
59,3
60,3
61,2
62,2
63,3
64,4
65,2
66,2
67,3
68,1
69,2
70,3
71,3
72,3
73,4
74,2
75,2
76,4
77,3
78,3
79,1
80,2
81,4
82,2
83,2
84,4
85,2
86,4
87,1
88,1
89,3
90,1
91,3
92,3
93,3
94,2
95,3
96,3
97,2
98,4
99,4
100,1
101,4
102,3
103,2
106,2
107,1
108,4
109,4
110,4
111,3
112,2
113,1
114,1
115,4
116,2
117,4
118,4
119,3
120,2
121,3
122,3
123,4
124,4
125,1
126,3
127,2
128,2
129,2
130,3
131,3
132,4
133,3
134,3
135,3
136,3
137,1
138,3
139,4
140,2
141,2
142,2
143,2
144,1
145,2
146,2
147,3
148,1
149,4
150,4
151,2
152,2
153,2
154,4
155,4
156,4
157,3
158,1
159,2
160,3
161,1
162,1
163,1
164,1
165,3
166,2
167,2
168,2
169,2
170,1
171,4
172,4
173,2
174,2
175,4
176,4
177,3
178,4
179,2
180,4
181,2
182,3
183,4
184,4
185,3
186,1
187,4
188,2
189,2
190,3
191,4
192,4
193,2
194,2
195,2
196,3
197,3
198,3
199,4
200,3
201,4
202,2
203,4
204,4
205,3
206,4
207,2
208,4
209,1
210,4
211,1
212,3
213,3
214,4
215,3
216,4
217,2
218,3
219,4
220,3
221,4
222,4
223,2
224,1
225,2
226,2
227,3
228,3
229,1
230,1
231,1
232,1
233,1
234,1
235,3
236,2
237,2
238,2
239,2
240,3
241,3
242,3
243,2
244,2
245,4
246,1
247,2
248,3
249,1
250,3
251,4
252,4
253,3
254,3
255,2
256,2
257,3
258,3
259,3
260,2
261,1
262,2
263,2